[[-0.38842648, 0.47947407, -0.51749814, -0.34570694, -0.015401424, 0.27027655, 0.0, 0.0], [1, 0, 0], 62.0187770033228]
[[-0.39359626, 0.47175658, -0.5300185, -0.34291354, -0.0025287129, 0.25745416, 0.0, 0.0], [1, 0, 1], 62.38113212804448]
[[-0.398696, 0.4649763, -0.5209799, -0.30136046, 0.008334437, 0.21726322, 0.0, 0.0], [0, 0, 1], 64.60027836849179]
[[-0.4036995, 0.45760396, -0.5089065, -0.32773015, 0.01677877, 0.1688867, 0.0, 0.0], [0, 0, 1], 63.60958984281184]
[[-0.4086264, 0.44962442, -0.4992951, -0.35473558, 0.023300663, 0.13043794, 0.0, 0.0], [1, 0, 1], 62.47550873532454]
[[-0.4134825, 0.44251657, -0.49022302, -0.3159827, 0.027856858, 0.091123976, 0.0, 0.0], [1, 0, 1], 64.80805342420351]
[[-0.418158, 0.43601984, -0.47036737, -0.28879803, 0.03063495, 0.0555619, 0.0, 0.0], [0, 0, 1], 67.47908964344118]
[[-0.42277303, 0.4289285, -0.46276894, -0.31519547, 0.031888936, 0.025079563, 0.0, 0.0], [0, 0, 0], 66.71415062693303]
[[-0.42738804, 0.42123723, -0.46276888, -0.34186226, 0.033142913, 0.025079539, 0.0, 0.0], [0, 0, 0], 65.2628779072104]
[[-0.43200308, 0.412946, -0.46276888, -0.36852905, 0.034396894, 0.025079554, 0.0, 0.0], [0, 0, 0], 63.76041532874312]
[[-0.43661803, 0.4040547, -0.46276888, -0.39519587, 0.035650864, 0.025079587, 0.0, 0.0], [0, 0, 0], 62.21102746768658]
[[-0.44123307, 0.39456356, -0.46276888, -0.42186263, 0.036904853, 0.025079612, 0.0, 0.0], [0, 0, 0], 60.61834468893018]
[[-0.44584808, 0.38447237, -0.46276888, -0.44852942, 0.038158838, 0.02507948, 0.0, 0.0], [0, 0, 0], 58.98539825448891]
[[-0.45046312, 0.37378114, -0.46276888, -0.47519624, 0.039412815, 0.025079478, 0.0, 0.0], [0, 0, 0], 57.314570371903116]
