[[0.4440461, 0.45521522, 0.18111423, -0.7127827, 0.875789, 0.32133812, 0.0, 0.0], [1, 0, 1], -31.003585958140658]
[[0.4455698, 0.43929607, 0.14354914, -0.7146628, 0.8894929, 0.27407962, 0.0, 0.0], [1, 0, 1], -31.03315722091865]
[[0.4464573, 0.42399037, 0.081403, -0.6863501, 0.90107155, 0.23157242, 0.0, 0.0], [1, 0, 1], -27.742773102803252]
[[0.44714442, 0.4087929, 0.0627567, -0.6804936, 0.9105745, 0.19005887, 0.0, 0.0], [1, 0, 0], -27.25932588996632]
[[0.4473895, 0.3933153, 0.018917728, -0.69272697, 0.91960275, 0.18056569, 0.0, 0.0], [1, 0, 0], -28.4075614533044]
[[0.447241, 0.37763178, -0.020278212, -0.7018391, 0.92849433, 0.17783143, 0.0, 0.0], [1, 0, 0], -29.476376769727942]
[[0.44647303, 0.3620996, -0.08225237, -0.69521886, 0.9375239, 0.18059133, 0.0, 0.0], [1, 0, 0], -29.42342349581089]
[[0.44533157, 0.34609604, -0.11911265, -0.7158187, 0.94585145, 0.16655055, 0.0, 0.0], [1, 0, 0], -32.03097901565749]
[[0.44375744, 0.32995498, -0.16230302, -0.7219429, 0.95416516, 0.16627482, 0.0, 0.0], [1, 0, 0], -33.49020630104495]
[[0.44140816, 0.31425592, -0.24008965, -0.70263493, 0.9630251, 0.17719874, 0.0, 0.0], [1, 0, 0], -33.818503785982955]
[[0.4384448, 0.29866922, -0.30153626, -0.6977729, 0.9720656, 0.18081233, 0.0, 0.0], [1, 0, 0], -35.65022067431259]
[[0.43512735, 0.28267452, -0.33662468, -0.7156927, 0.9806728, 0.172143, 0.0, 0.0], [1, 0, 0], -38.72539956777163]
[[0.4310504, 0.26707315, -0.4128588, -0.6985697, 0.9898686, 0.18391627, 0.0, 0.0], [1, 0, 0], -40.819270810646216]
[[0.42624253, 0.2518266, -0.4862041, -0.68317497, 0.9996693, 0.19601604, 0.0, 0.0], [1, 0, 0], -43.60595466896271]
[[0.42075816, 0.23659874, -0.5537314, -0.68233114, 1.0093831, 0.19427481, 0.0, 0.0], [1, 0, 0], -47.66378032779936]
[[0.41437513, 0.22154962, -0.6434123, -0.6743153, 1.0189166, 0.19067118, 0.0, 0.0], [1, 0, 0], -52.96220642345921]
[[0.40740728, 0.20639291, -0.70174015, -0.67905605, 1.028325, 0.18816811, 0.0, 0.0], [1, 0, 0], -57.33224146948616]
[[0.39993247, 0.19098237, -0.75221324, -0.69019943, 1.0374366, 0.18223347, 0.0, 0.0], [1, 0, 0], -61.63029865004762]
[[0.39184943, 0.17531998, -0.81270516, -0.701121, 1.0460429, 0.17212597, 0.0, 0.0], [1, 0, 0], -66.6456812773677]
[[0.38314122, 0.15950862, -0.87503165, -0.7076279, 1.0544038, 0.16721831, 0.0, 0.0], [1, 0, 0], -71.55654856459799]
